TotalHintTime,HintsTextTime,HintsImageTime,HintsVoiceTime,NumberOfWholeHint,NumberOfTextHint,NumberOfImageHint,NumberOfVoiceHint,NumberOfWholHintRevisit,NumberOfTextHintRevisit,NumberOfImageHintRevisit,NumberOfVoiceHintRevisit,TotalWordsTime,TimesOnQuestions,TimesOnText,NumberofWholeMouseMovement,NumberOfMouseRevisit,RevisitPercentage,NumberOfWholeWordsRevisit,NumberOfQuestionWordsRevisit,NumberOfTextWordsRevisit,NumberOfTransitionBetweenTextandQuestion,NumberOfTransitionBetweenHints,Performance
55,39,16,0,21,7,14,0,1,0,1,0,384925,98572,286353,1949,899,0.461262186,575,178,397,11,12,83.33333333
59,33,23,3,24,8,14,2,0,0,0,0,138047,5156,132891,1999,1284,0.642321161,595,10,585,21,15,41.66666667
229,199,27,3,53,30,21,2,16,10,6,0,1404098,764734,639364,4376,3353,0.766224863,824,277,547,70,32,41.66666667
149,108,21,20,59,25,14,20,6,5,0,1,565355,167519,397836,3521,2466,0.700369213,870,263,607,35,51,41.66666667
75,75,0,0,19,19,0,0,0,0,0,0,629058,159683,469375,1345,660,0.49070632,378,48,330,11,0,41.66666667
62,36,23,3,24,11,10,3,0,0,0,0,188197,14520,173677,1133,486,0.428949691,289,35,254,9,18,58.33333333
71,50,18,3,32,13,12,7,2,1,1,0,468745,184313,284432,2384,1393,0.584312081,651,262,389,13,25,25
107,97,9,1,28,18,9,1,6,3,3,0,679153,149084,530069,2821,1902,0.674228997,679,155,524,33,16,83.33333333
124,75,37,12,23,16,5,2,0,0,0,0,132784,13106,119678,787,341,0.433290978,213,12,201,13,13,83.33333333
49,43,6,0,22,18,4,0,1,1,0,0,331922,125952,205970,1495,750,0.501672241,406,116,290,28,8,66.66666667
357,320,33,4,43,22,19,2,12,7,5,0,904011,198757,705254,2610,1613,0.618007663,695,163,532,47,23,58.33333333
40,22,17,1,14,5,8,1,0,0,0,0,569499,274227,295272,2138,1060,0.495790458,577,175,402,35,7,33.33333333
280,246,34,0,32,21,11,0,8,6,2,0,387885,69622,318263,1796,1016,0.565701559,490,67,423,45,20,58.33333333
48,44,2,2,14,12,1,1,0,0,0,0,227222,22752,204470,707,277,0.391796322,178,46,132,31,3,58.33333333
86,77,9,0,14,7,7,0,2,2,0,0,773262,249962,523300,4732,2851,0.691555368,940,321,619,21,8,41.66666667
135,100,32,3,38,19,16,3,5,2,3,0,590642,139293,451349,2452,1595,0.650489396,566,132,434,25,33,41.66666667
19,11,8,0,13,5,8,0,0,0,0,0,348341,100810,247531,2454,1523,0.620619397,651,167,484,39,7,83.33333333
83,66,11,6,21,11,7,3,0,0,0,0,774642,374872,399770,2061,1242,0.602620087,554,89,465,78,17,41.66666667
